16:13:25	Investigador 2: Mire le presento a una amiga, ella se llama *****?		
16:13:28	pcd: ****?		
16:13:30	Investigador 2: Y ella es otra amiga pero ella va a jugar al ratito con usted		
16:13:32	pcd: Yo me llamo ****		
16:13:34	participante2: Hola, mucho gusto.		
16:13:38	(incomprehensible) 		
16:13:44	pcd: Yo me quería sentar allí.		
16:13:46	Investigador 2: Aquí está bien, aquí está bien		
16:14:0	participante: Vamos a empezar a jugar un juego de cartas, ¿si?		
16:14:5	participante: No, no son barajas. Son letras.		
16:14:7	participante: Es que.. quiero jugar un juego de palabras y quiero que usted me ayude.		
16:14:11	pcd: Ahh bueno	0	
16:14:12	participante:  Si?	0	
16:14:12	pcd: Yo le voy a ayudar, yo no lo voy a hacer, verdad?	1	
16:14:15	participante: Bien, que le parece… que yo acomodo las letras acá, y usted las acomoda aquí.	1	
16:14:22	participante: Usted me pone palabras que usted conozca.	1	
16:14:25	Sí? Bien. Que le parece si…	0	
16:14:28	pcd: Y si no me acuerdo?	0	
16:14:30	participante: No importa, continuamos con otra palabra. ¿Si?	0	
16:14:37	 participante: Entonces, con estas mire, aquí hay muchas y repetidas. Formeme palabras que usted conozca y las vamos poniendo de este lado.	0	
16:14:47	participante: ¿Si?. Yo ocupo llenar bastante aquí. Ese es mi juego pero voy a llenar muchos de este lado. ¿Si?	0	
16:14:54	participante: A ver, ¿cómo qué palabra se acuerda?	0	
16:14:57	pcd: Yo las voy a poner	0	
16:14:58	 participante: Okay.	0	
16:15:0	pcd: Usted las va a leer.	0	
16:15:1	participante: Ajá.	0	
16:15:6	 participante: Hongos…	0	
16:15:14	participante: ujum..	0	
16:15:19	pcd: Y.. no va a caer.	1	
16:15:20	participante: No importa, lo acomodamos. Y de todas maneras yo lo voy a acomodar de este lado. ¿Si?	1	
16:15:32	pcd: Es que necesitamos una mesa mas grande, 	1	
16:15:35	participante: y….	1	
16:15:35	Esta está muy chiquita.	1	
16:15:37	participante: Hmm.. si. Pero ahorita es la que tenemos aquí. Así que vamos a tener que hacerlo aquí.	1	
16:15:45	pcd: Es donde yo cocino.	1	
16:15:47	participante: Guaaa.. y sabe otra, otra palabra? De ahí de donde usted..	1	
16:15:53	pcd: (incomprehensible) .. le toca a usted	1	
16:15:54	participante: Ahh.. me toca a mí? A mire, a mi. Lo que a mi me toca hacer es acomodarlo acá bien bonito.	1	
16:15:59	pcd: oy.. a usted no le va a tocar nada!	1	
16:16:0	participante: *Risa*. Si, me va a tocar acomodarlo. 	1	
16:16:4	participante: Y muy derechito. Si lo acomodo chueco no se va a poder. ¿si?	1	
16:16:7	pcd: No va a caer ahí.	1	
16:16:9	participante: Si mire, (incomprehensible) 	1	
16:16:11	pcd: No cabe.	1	
16:16:13	 participante: Lo podemos poner mas para acá. 	1	
16:16:23	participante: Y si cupo. Ahí está.	1	
16:16:25	pcd: ¿Y pa’ qué quiere tanta letra?	1	
16:16:27	participante: ¡Ah.. es que me gustan las palabras!	1	
16:16:30	participante: Las ocupo. Me gustan las palabras. 	1	
16:16:33	participante: Mucho. Y quiero que usted me enseñe las que usted conoce.	1	
16:16:38	pcd:  Ay. Yo no conozco.	1	
16:16:40	participante: ¿Qué otras palabras?	1	
16:16:41	pcd: No se yo ya.	1	
16:16:42	participante: A ver. Recuerde una palabra. La que usted quiera.	0	
16:16:47	pcd: Ahh.. ya se que voy a poner.	0	
16:17:4	pcd: Esta es una palabra bonita. Es ella.	0	
16:17:7	participante: ¡Oooh!!	0	
16:17:15	pcd: Así.	0	
16:17:16	participante: ¿Lupe? ¿Nada mas así?	0	
16:17:18	pcd: No. Guadalupe.	0	
16:17:20	participante: Como usted quiera.	0	
16:17:21	pcd: No, mejor nada mas así por que está (incomprehensible) 	0	
16:17:23	participante: *Risa*	0	
16:17:24	participante: Otra que conozca.	0	
16:17:27	participante: Cualquier otra que conozca. Vamos a acomodar acá.	0	
16:17:31	participante: ¿Qué otra? Hay muchas palabras.	0	
16:17:34	pcd: Pero me debería de haber traído un periódico. 	1	
16:17:38	participante: ¡Pero las que usted se acuerde!	1	
16:17:39	 pcd: No pues no me acuerdo de nada.	1	
16:17:42	participante: A ver, de lo que ve aquí, ¿de que palabra se acuerda? 	1	
16:17:45	 pcd: Pues me acuerdo de ella.	1	
16:17:46	participante: Ahh… ¿y que mas? ¡Hay muchas cosas mas!	1	
16:17:48	pcd: Ahh.. Mateo.	1	
16:17:49	 participante: Hmm.	1	
16:17:53	pcd: No me las esconda.	1	
16:17:55	 participante: No se las escondo *risilla*	1	
16:18:4	pcd: Es que necesitamos otra mesa mas grande.	1	
16:18:7	participante: Hm.. y si las voy acomodando…	1	
16:18:13	pcd: No pues tiene que hacer estas pa’ acá así.	1	
16:18:15	participante: Ahh okay, esta las hacemos para acá.	1	
16:18:17	participante: Peroo.. se van a esconder poquito.	1	
16:18:23	participante: Así nada mas?	1	
16:18:25	pcd: No, así. Tienen nuevas, teles.	1	
16:18:29	participante: Puras cortitas me va a decir.	1	
16:18:31	pcd: Sí. una televisión, llega hasta allá.	1	
16:18:35	participante: Hmm.. ¿y la quiere terminar?	1	
16:18:37	pcd: Si. ¿cuál es la v?	0	
16:18:45	participante: ¿La cuál? 	0	
16:18:45	pcd: La v.	1	
16:18:46	participante:  Ahh a ver, vamos a acordarnos. Hay que moverle aquí a las letritas…	1	
16:18:49	pcd: No pues yo no se.	1	
16:18:52	participante: Ahh vamos a acordarnos.	1	
16:18:54	participante: No se acuerda de un nombre mas chiquito que le pusieron a la tele?	1	
16:18:57	pcd: Tele.	1	
16:18:58	participante: Ajá,  un nombre mas chiquito.	1	
16:19:1	pcd: Mas chiquito? No.	1	
16:19:3	participante: ¿No?	1	
16:19:3	pcd: ¿Usted si se acuerda? A ver, dígamelo.	1	
16:19:5	participante: A ver, ahí está la letra aquí. Ándele. 	1	
16:19:10	participante: Y no le tuve que decir.	1	
16:19:13	participante: L.. que mas le queda?	1	
16:19:17	participante: Mi.. ajá muy bien.	1	
