16:3:20	Pcd: Si pero por qué me traen aquí?	1	-1
16:3:22	Investigador 2: La traemos para que juegue un rato	-	
16:3:24	Pcd: No pero es que yo no quiero jugar	-	
16:3:26	Investigador 2: Pero ess ???????!!!!, ?????!!, a usted le gusta jugar con ??????	-	
16:3:30	Pcd: Incomprensible	-	
16:3:32	Participante: Pero como!!!!	-	
16:3:33	Pcd: Noooo	-	
16:3:35	Participante: Por que no?	1	
16:3:35	Pcd: Porque no me gusta jugar 	1	
16:3:38	Pcd:  Porque me dieron una nieve, pa que  viniera paca, pero ya me la comi	1	
16:3:44	Participante:  Mmmmmmmm	1	
16:3:45	Pcd: Incomprensible	1	
16:3:47	Participante:  Entonces, vamos a jugar?	1	
16:3:49	Pcd: Noo, porque  no me gusta	1	
16:3:52	 Participante: No le gusta?	1	
16:3:52	Pcd: Noo eso noooo, no trae otra cosa pa jugar?	1	
16:3:56	Participante: Pero esta es la que vamos a hacer	1	
16:3:59	Pcd: possssssss	1	
16:3:59	Participante: A lo mejor viendo le gusta	1	
16:4:3	Participante: Lo que se va hacer es que con esta tableta	1	-1
16:4:6	Pcd: Si pero esa tableta no me gusta 	1	
16:4:10	Participante:Pues  Es una tablita con  huequitos	1	
16:4:12	Pcd: No porque me duele aqui (Toca sus hombros )	1	
16:4:16	Participante: Pero la tablita (Incomprensible)	1	
16:4:16	Pcd: Si, esta pesada y no la puedo  cargar	2	
16:4:21	Participante: Noooo, ahorita (Incomprensible)	2	
16:4:24	Pcd: Pesa 3 kilos 	2	
16:4:26	Participante: Eeee, pues no. Ni la mitad de eso	2	
16:4:32	Pcd: Noo. si	2	
16:4:32	Participante: Lo que se va hacer, meter la cuerdita en los hoyitos 	2	
16:4:36	Pcd: Noo, eso no me gusta, yo no quiero jugar eso 	2	
16:4:41	Participante:  Y.....	2	
16:4:42	Pcd: Quiero jugar a las escondidas	2	
16:4:44	Participante: Perooooo,  a las escondidas jugamos después, mejor (incomprensible)	2	
16:4:48	Pcd: si pero 	2	
16:4:50	Nooo, no le pongo atención	2	
16:4:52	Participante: (Se admira ) por qué no?	2	
16:4:53	Pcd: Porque no, porque quiero jugra a las escondidas	-	
16:4:56	Participante: Si pero (incomprensible)	-	
16:4:57	Pcd: Aaa a la traes, tu la traes yo la traigo	-	
16:5:1	Participante: si este, ahora  (incompresible)	-	4
16:5:7	Pcd: Nooo, yo no lo voy hacer, yo no lo voy hacer, porque yo quiero jugar a las escondidas	-	
16:5:15	Participante: Al rato, primero así	-	
16:5:18	Pcd: Pos sígalo haciendo	1	
16:5:20	Participante:  Uno y dos 	1	
16:5:21	Participante:  Yo ya hice!!, sigue usted.	1	
16:5:22	 Pcd: No pos no miré, no miré porque estaba entretenida viendo mi galleta	1	
16:5:28	Pcd: Tengo una galleta aquí 	1	
16:5:28	Participante:  Aaaa	1	
16:5:30	Participante: Pero...	1	
16:5:31	Pcd: Me lo voy a comer	1	
16:5:33	Participante: Entonces 	1	
16:5:33	Pcd: Pero no quiero, no quiero jugar, quién le dijo que queria jugar?	1	
16:5:37	Participante: mmmmm	1	
16:5:38	Pcd: eee?	1	
16:5:39	Participante: Pues a mi me dijeron que quería jugar	1	
16:5:41	Pcd: Nooo, es que me trajeron paca y me dieron un nieve pero yo no quiero una nieve 	1	
16:5:47	Participante:  Pero.... ya se la comió	1	
16:5:47	Pcd: Nooo, no quiero	1	
16:5:49	Pcd: Pues ya me la comí pero yo creí que iba a jugar de otra forma	1	
16:5:54	Participante: Aaaa	1	
16:5:54	Pcd: No así	1	
16:5:56	Participante: Pues, que se le va  hacer	1	
16:5:59	Pcd:  Pues, que se le va  hacer, pues que no quiero 	1	
16:6:1	Pcd: Haber hágalo uste	1	-1
16:6:4	Participante: Otra vez ???	1	
16:6:5	Pcd:  Otra vez 	1	
16:6:5	Participante: Pero lo va hacer usted después 	1	
16:6:7	Pcd: Pues si puedo si, si no, no. 	1	
16:6:9	Participante: Pues 	2	
16:6:9	Pcd: Porque la tabla pesa mucho y yo me canso 	2	
16:6:11	Pcd: Me canso y me duele aquí (toca sus hombros )	2	
16:6:13	aaaaaaa	2	
16:6:16	Pcd:   sssss Ayyy	2	
16:6:16	Participante: Entonces es así	2	
16:6:18	 Pcd: Ya sabe pa donde fue mi mamá?	2	
16:6:21	Participante: Sss no se!!!!!	2	
16:6:25	Pcd: No pos uste ya la hizo pero yo no la quiro hacer 	2	
16:6:30	Participante: Esta bien fácil	2	
16:6:31	Pcd: Pues  si, yo no digo que no, pero la tabla esta bien pesasda mire	2	
16:6:35	Participante: Incomprensible	2	
16:6:37	 Ya me lastimó el dedo!! Ayyy!!! aquí me duele mire porque la tabla está  pesada, pesada, pesada	2	
16:6:44	 Participante: Incomprensible	2	
16:6:45	Pxcd: Si, si esta pesada, muy pesada esta la tabla	2	
16:6:51	Pcd: Y yo no quiero hacer eso	2	
16:6:54	Participante:  No?	1	
16:6:55	Pcd: No, no se ve bonito, uste no sabe, pero yo si se	1	
16:7:3	 Participante: mmmmm	1	-1
16:7:4	 Pcd: Yo si se jugar pero uste no sabe	1	
16:7:10	pcd: Un mushasho que vino aquí me enseñoo hacer eso, por eso no me gusta la tabla 	1	
16:7:17	Pcd: Y luego aquí, mire le hizo esto	1	
16:7:22	Pcd: Y luego este es un viejo bigotón vee	1	
16:7:28	Participante: Oooooo	1	
